state_clean,county_clean,Days with AQI,Good Days,Moderate Days,Unhealthy for Sensitive Groups Days,Unhealthy Days,Very Unhealthy Days,Hazardous Days,Max AQI,90th Percentile AQI,Median AQI,Days Ozone,Days PM2.5,Days PM10,PM25_pct,Ozone_pct,NO2_pct,PM10_pct,pm25_share,ozone_share,StateAbbr,asthma_pct,heart_disease_pct,copd_pct,diabetes_pct,stroke_pct,poor_mental_health_pct,poor_physical_health_pct,smoking_pct,fips,state_label,county_label,poverty_rate,median_income,income_k,poverty_pct,cluster,cluster_label
california,mariposa,365.2,176.4,154.0,20.4,8.8,4.2,1.4,392.2,100.2,51.0,251.2,112.6,1.4,30.836739276891983,68.78074706190583,0.0,0.3825136612021858,0.3083242059145673,0.687842278203724,CA,0.09925,0.0725,0.07525,0.10825,0.035875,0.14525,0.13,0.14125,06043,California,Mariposa,0.141,60377.0,60.377,14.099999999999998,2.0,High-burden
california,mendocino,364.2,236.6,115.6,7.2,3.6,0.4,0.8,312.0,68.2,42.6,106.2,255.4,2.6,70.0981472237888,29.185422907786933,0.0,0.7164298684242597,0.7012630422844591,0.2915980230642504,CA,0.1006249999999999,0.0691249999999999,0.075125,0.11225,0.0355,0.151125,0.1365,0.1503749999999999,06045,California,Mendocino,0.161,57516.0,57.516,16.1,2.0,High-burden
california,merced,365.0,139.8,195.8,23.6,5.8,0.0,0.0,163.6,95.4,55.2,177.6,185.2,2.0,50.738084955691065,48.65902396129209,0.0547945205479452,0.5480965624688958,0.5073972602739726,0.4865753424657534,CA,0.099875,0.062125,0.0651249999999999,0.12875,0.0335,0.159375,0.145625,0.1515,06047,California,Merced,0.21899999999999997,54703.0,54.703,21.9,2.0,High-burden
california,mono,365.0,247.4,85.4,10.0,7.2,3.6,11.4,2820.4,107.8,31.4,0.0,233.6,131.4,63.986724182322654,0.0,0.0,36.013275817677346,0.64,0.0,CA,0.0927499999999999,0.0565,0.0584999999999999,0.0923749999999999,0.027875,0.139625,0.1128749999999999,0.129375,06051,California,Mono,0.098,70945.0,70.945,9.8,1.0,Mid-burden
california,monterey,365.2,269.2,91.2,2.2,2.0,0.6,0.0,155.4,58.0,40.4,179.4,166.2,19.2,45.508645856725806,49.125084212890194,0.0,5.256680889288121,0.4550930996714129,0.4912376779846659,CA,0.0927499999999999,0.0573749999999999,0.0577499999999999,0.1135,0.03025,0.14225,0.12725,0.125625,06053,California,Monterey,0.121,81404.0,81.404,12.1,0.0,Low-burden
california,napa,319.4,201.8,109.0,4.0,4.0,0.6,0.0,177.8,62.4,43.2,116.8,200.4,0.2,60.71290477890727,38.595237473195134,0.1097395754930001,0.0549450549450549,0.6274264245460238,0.3656856606136506,CA,0.0896249999999999,0.054,0.052375,0.0956249999999999,0.0275,0.128,0.1065,0.11025,06055,California,Napa,0.09,94127.0,94.127,9.0,0.0,Low-burden
california,nevada,364.0,216.4,107.8,27.0,10.0,2.4,0.4,225.6,99.4,47.0,261.4,102.6,0.0,28.15042896205624,71.84957103794376,0.0,0.0,0.2818681318681318,0.718131868131868,CA,0.0951249999999999,0.06375,0.06425,0.0928749999999999,0.030875,0.13575,0.1131249999999999,0.120875,06057,California,Nevada,0.11800000000000001,77220.0,77.22,11.8,0.0,Low-burden
california,orange,365.2,116.8,223.4,21.2,3.4,0.4,0.0,169.8,93.0,55.4,143.4,208.6,3.6,57.119694587918254,39.264765326746016,2.6295381390822667,0.986001946253462,0.5711938663745892,0.3926615553121577,CA,0.0832499999999999,0.049,0.046875,0.0993749999999999,0.025625,0.123375,0.10375,0.1031249999999999,06059,California,Orange,0.099,100210.0,100.21,9.9,0.0,Low-burden
california,placer,365.2,176.4,162.4,16.4,6.6,2.8,0.6,295.8,92.2,51.2,203.8,154.8,3.2,42.38445991466427,55.808518601691745,0.9315068493150684,0.8755146343289167,0.4238773274917853,0.5580503833515882,CA,0.0911249999999999,0.05175,0.051,0.0834999999999999,0.026125,0.127125,0.1003749999999999,0.105875,06061,California,Placer,0.066,103588.0,103.588,6.6000000000000005,0.0,Low-burden
california,plumas,353.4,164.4,154.2,16.6,10.2,5.2,2.8,379.6,112.4,50.2,0.0,353.4,0.0,100.0,0.0,0.0,0.0,1.0,0.0,CA,0.099,0.0691249999999999,0.07225,0.102875,0.03425,0.143375,0.123875,0.137,06063,California,Plumas,0.13,58154.0,58.154,13.0,2.0,High-burden
california,riverside,365.2,34.4,192.4,96.0,36.8,4.6,1.0,350.6,155.6,85.4,208.8,118.0,38.0,32.31020285949547,57.173890261247095,0.1095890410958904,10.406317838161538,0.3231106243154436,0.5717415115005476,CA,0.091125,0.0555,0.056125,0.1125,0.029875,0.143375,0.1225,0.12775,06065,California,Riverside,0.11599999999999999,78690.0,78.69,11.6,0.0,Low-burden
california,sacramento,365.2,135.0,199.8,22.4,5.6,1.8,0.6,257.4,96.8,56.0,165.2,194.0,5.6,53.12208997679467,45.23542181300996,0.1095890410958904,1.5328991690994835,0.5312157721796276,0.452354874041621,CA,0.1003749999999999,0.0533749999999999,0.0565,0.104625,0.02975,0.142125,0.114625,0.1315,06067,California,Sacramento,0.13,79611.0,79.611,13.0,0.0,Low-burden
california,san benito,365.2,287.6,71.6,4.2,1.8,0.0,0.0,124.8,60.4,40.8,285.2,75.2,4.8,20.585223444868628,78.10090575641888,0.0,1.3138707987124785,0.2059145673603505,0.7809419496166484,CA,0.0905,0.0521249999999999,0.0506249999999999,0.10675,0.027,0.137,0.11725,0.11925,06069,California,San Benito,0.08900000000000001,95187.0,95.187,8.9,0.0,Low-burden
california,san bernardino,365.2,20.4,196.2,77.8,57.2,13.4,0.2,277.8,175.6,86.8,204.8,144.4,10.0,39.54248072460514,56.07680215584999,1.6429373456097012,2.737779773935175,0.3953997809419496,0.5607886089813802,CA,0.095375,0.055375,0.0559999999999999,0.12125,0.029875,0.14625,0.130375,0.135625,06071,California,San Bernardino,0.132,74218.0,74.218,13.200000000000001,0.0,Low-burden
california,san diego,365.2,38.4,289.4,33.0,4.4,0.0,0.0,162.2,100.6,68.4,152.2,211.0,1.8,57.768844973426155,41.68365895650872,0.0547945205479452,0.4927015495171794,0.5777656078860899,0.4167579408543264,CA,0.08675,0.0494999999999999,0.048875,0.0951249999999999,0.02625,0.133,0.10625,0.113625,06073,California,San Diego,0.107,90756.0,90.756,10.7,0.0,Low-burden
california,san francisco,365.2,233.2,126.0,2.6,2.8,0.6,0.0,161.0,63.6,41.6,117.6,231.4,0.2,63.36088030541208,32.20151208922823,4.328018564263792,0.0547945205479452,0.6336254107338445,0.3220153340635268,CA,0.079375,0.043375,0.037625,0.0903749999999999,0.022625,0.113875,0.0844999999999999,0.0976249999999999,06075,California,San Francisco,0.114,119776.0,119.776,11.4,0.0,Low-burden
california,san joaquin,365.2,147.2,193.0,19.0,4.6,1.2,0.2,213.8,92.4,54.0,136.4,216.2,12.0,59.199490979863754,37.35055019088255,0.1643835616438356,3.2855752676098513,0.5920043811610076,0.3734939759036145,CA,0.0962499999999999,0.0572499999999999,0.0584999999999999,0.116375,0.031125,0.144625,0.125875,0.139125,06077,California,San Joaquin,0.12300000000000001,79598.0,79.598,12.3,0.0,Low-burden
california,san luis obispo,365.2,153.0,200.4,9.8,1.4,0.2,0.4,168.2,80.0,53.2,187.6,162.4,15.2,44.46605284826709,51.37046186091773,0.0,4.1634852908151805,0.4446878422782037,0.5136911281489595,CA,0.0944999999999999,0.0554999999999999,0.0568749999999999,0.091625,0.028,0.138625,0.1083749999999999,0.1164999999999999,06079,California,San Luis Obispo,0.131,79688.0,79.688,13.100000000000001,0.0,Low-burden
california,san mateo,365.2,259.4,99.4,2.8,3.6,0.0,0.0,152.6,60.0,39.2,136.6,217.8,0.0,59.638445991466426,37.404296728797064,2.957257279736507,0.0,0.5963855421686748,0.3740416210295728,CA,0.0795,0.0442499999999999,0.0389999999999999,0.091,0.02275,0.110375,0.0871249999999999,0.0902499999999999,06081,California,San Mateo,0.068,131151.0,131.151,6.800000000000001,0.0,Low-burden
california,santa barbara,365.2,207.0,151.4,3.8,2.4,0.4,0.2,161.4,66.4,47.8,180.0,178.8,6.4,48.95531102627442,49.29171345160566,0.0,1.7529755221199188,0.4895947426067908,0.4928806133625411,CA,0.0938749999999999,0.0545,0.0544999999999999,0.10025,0.028,0.140375,0.115125,0.117875,06083,California,Santa Barbara,0.152,83185.0,83.185,15.2,0.0,Low-burden
california,santa clara,365.2,170.8,182.4,7.4,4.2,0.4,0.0,175.4,73.6,51.6,111.4,251.4,0.2,68.83838610674452,30.504528782094468,0.6022905906130698,0.0547945205479452,0.6883899233296824,0.3050383351588171,CA,0.07625,0.0413749999999999,0.036125,0.09125,0.021875,0.107375,0.084625,0.0854999999999999,06085,California,Santa Clara,0.069,141161.0,141.161,6.9,0.0,Low-burden
california,santa cruz,365.2,278.4,80.0,3.0,3.0,0.2,0.6,217.0,58.6,39.0,160.6,204.6,0.0,56.02066022905906,43.97933977094094,0.0,0.0,0.5602409638554217,0.4397590361445783,CA,0.09375,0.0524999999999999,0.054375,0.09225,0.02675,0.1367499999999999,0.109125,0.113125,06087,California,Santa Cruz,0.106,90370.0,90.37,10.6,0.0,Low-burden
california,shasta,365.0,269.2,80.8,9.6,4.2,1.2,0.0,175.2,76.4,43.2,326.8,37.6,0.6,10.297188626180318,89.53812674338162,0.0,0.1646846304380551,0.1030136986301369,0.8953424657534247,CA,0.102,0.065625,0.074,0.100875,0.03375,0.1553749999999999,0.1305,0.1543749999999999,06089,California,Shasta,0.14,60187.0,60.187,14.000000000000002,2.0,High-burden
california,siskiyou,337.0,251.2,65.4,7.6,10.8,1.6,0.4,245.6,76.4,38.0,195.0,142.0,0.0,42.01134146438435,57.98865853561564,0.0,0.0,0.4213649851632047,0.5786350148367952,CA,0.10375,0.074625,0.0817499999999999,0.11425,0.037875,0.155,0.1397499999999999,0.1565,06093,California,Siskiyou,0.168,50069.0,50.069,16.8,2.0,High-burden
california,solano,365.2,196.2,160.0,4.2,4.4,0.4,0.0,185.8,69.8,48.4,133.4,230.8,0.2,63.19694587918258,36.52923122988248,0.2191780821917808,0.0546448087431694,0.6319824753559694,0.3652792990142388,CA,0.094375,0.05175,0.0516249999999999,0.105625,0.029125,0.13475,0.109875,0.12175,06095,California,Solano,0.1,87348.0,87.348,10.0,0.0,Low-burden
